SP	GD	NUM_BP	DROPPED_PAIRS	SEQS	IUCN	status	Split	New Name	N_of_splits	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	Notes	Included in Phylogeny
Otus megalotis	0.023697886	1257	22	12	LC	Non-threatened	Otus nigrorum, O. everetti	NA	2	Otus nigrorum	Otus everetti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Phylloscopus reguloides	0.024746273	14490	80	42	LC	Non-threatened	Phylloscopus claudiae, P. goodsoni	NA	2	Phylloscopus claudiae	Phylloscopus goodsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes
Ficedula parva	0.024946269	5369	0	21	LC	Non-threatened	Ficedula albicilla	NA	1	Ficedula albicilla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Myrmotherula axillaris	0.025051742	671140	0	231	LC	Non-threatened	Myrmotherula luctuosa	NA	1	Myrmotherula luctuosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Pteruthius flaviscapis	0.025151014	3267	0	16	LC	Non-threatened	Pteruthius aeralatus	NA	1	Pteruthius aeralatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Andropadus masukuensis	0.025187402	287	14	8	LC	Non-threatened	Arizelocichla tephrolaema, Arizelocichla montana	NA	2	Arizelocichla tephrolaema	Arizelocichla montana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Campylorhamphus procurvoides	0.025620151	4501	0	19	LC	Non-threatened	Campylorhamphus procurvoides, C. probatus and C. multostriatus	NA	3	Campylorhamphus procurvoides	Campylorhamphus probatus	Campylorhamphus multostriatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No, No
Stachyris ruficeps	0.025651044	150476	240	114	LC	Non-threatened	Cyanoderma ambigua	NA	1	Cyanoderma ambigua	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Cossypha anomala	0.025851703	258	10	6	NT	Non-threatened	Dessonornis anomalus, D. macclounii and D. mbuluensis	NA	3	Dessonornis anomalus	Dessonornis macclounii	Dessonornis mbuluensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No
Illadopsis rufipennis	0.025921826	3930	0	18	LC	Non-threatened	Illadopsis distans	NA	1	Illadopsis distans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
